ds,y
2025-01-01,104.99
2025-01-02,108.77
2025-01-03,108.8
2025-01-04,103.81
2025-01-05,93.66
2025-01-06,92.34
2025-01-07,101.2
2025-01-08,107.63
2025-01-09,110.21
2025-01-10,110.69
2025-01-11,101.94
2025-01-12,95.29
2025-01-13,95.39
2025-01-14,96.31
2025-01-15,104.75
2025-01-16,112.12
2025-01-17,109.68
2025-01-18,105.6
2025-01-19,96.51
2025-01-20,94.19
2025-01-21,105.17
2025-01-22,109.85
2025-01-23,115.48
2025-01-24,110.96
2025-01-25,105.98
2025-01-26,100.65
2025-01-27,96.81
2025-01-28,105.09
2025-01-29,111.2
2025-01-30,116.87
2025-01-31,114.71
2025-02-01,112.87
2025-02-02,102.5
2025-02-03,99.1
2025-02-04,108.08
2025-02-05,112.06
2025-02-06,119.97
2025-02-07,114.09
2025-02-08,108.61
2025-02-09,105.02
2025-02-10,104.79
2025-02-11,108.88
2025-02-12,116.37
2025-02-13,121.05
2025-02-14,117.15
2025-02-15,111.93
2025-02-16,105.8
2025-02-17,107.52
2025-02-18,111.33
2025-02-19,115.17
2025-02-20,124.4
2025-02-21,121.44
2025-02-22,114.11
2025-02-23,110.05
2025-02-24,109.57
2025-02-25,114.6
2025-02-26,119.12
2025-02-27,125.23
2025-02-28,124.97
2025-03-01,119.52
2025-03-02,109.97
2025-03-03,109.24
2025-03-04,112.63
2025-03-05,120.51
2025-03-06,129.57
2025-03-07,129.12
2025-03-08,119.52
2025-03-09,115.03
2025-03-10,112.43
2025-03-11,115.65
2025-03-12,125.72
2025-03-13,133.12
2025-03-14,128.44
2025-03-15,124.9
2025-03-16,109.89
2025-03-17,115.45
2025-03-18,119.21
2025-03-19,126.5
2025-03-20,132.33
2025-03-21,126.63
2025-03-22,123.43
2025-03-23,117.94
2025-03-24,118.87
2025-03-25,120.1
2025-03-26,127.58
2025-03-27,133.25
2025-03-28,134.54
2025-03-29,126.62
2025-03-30,118.27
2025-03-31,119.04
2025-04-01,123.43
2025-04-02,133.24
2025-04-03,134.94
2025-04-04,134.15
2025-04-05,127.28
2025-04-06,118.5
2025-04-07,120.7
2025-04-08,125.86
2025-04-09,133.41
2025-04-10,137.98
2025-04-11,134.08
2025-04-12,129.33
2025-04-13,122.84
2025-04-14,120.61
2025-04-15,127.12
2025-04-16,136.31
2025-04-17,144.32
2025-04-18,139.36
2025-04-19,132.78
2025-04-20,125.48
2025-04-21,120.47
2025-04-22,129.49
2025-04-23,137.72
2025-04-24,147.58
2025-04-25,140.72
2025-04-26,134.97
2025-04-27,127.66
2025-04-28,124.07
2025-04-29,133.92
2025-04-30,141.2
2025-05-01,146.33
2025-05-02,141.39
2025-05-03,139.27
2025-05-04,127.02
2025-05-05,129.68
2025-05-06,138.12
2025-05-07,139.82
2025-05-08,145.72
2025-05-09,145.51
2025-05-10,137.56
2025-05-11,128.82
2025-05-12,130.75
2025-05-13,133.71
2025-05-14,144.85
2025-05-15,147.11
2025-05-16,150.51
2025-05-17,139.1
2025-05-18,133.38
2025-05-19,134.34
2025-05-20,135.48
2025-05-21,146.45
2025-05-22,153.66
2025-05-23,146.29
2025-05-24,143.14
2025-05-25,136.64
2025-05-26,136.37
2025-05-27,137.57
2025-05-28,145.46
2025-05-29,154.19
2025-05-30,152.2
2025-05-31,145.37
2025-06-01,138.92
2025-06-02,135.55
2025-06-03,142.6
2025-06-04,150.79
2025-06-05,153.82
2025-06-06,157.44
2025-06-07,147.91
2025-06-08,137.94
2025-06-09,140.32
2025-06-10,142.29
2025-06-11,153.87
2025-06-12,159.67
2025-06-13,154.17
2025-06-14,150.99
2025-06-15,143.25
2025-06-16,142.75
2025-06-17,150.13
2025-06-18,153.91
2025-06-19,157.94
2025-06-20,156.13
2025-06-21,149.54
2025-06-22,144.37
2025-06-23,143.89
2025-06-24,148.99
2025-06-25,158.15
2025-06-26,161.57
2025-06-27,162.92
2025-06-28,152.74
2025-06-29,152.07
2025-06-30,146.56
2025-07-01,148.82
2025-07-02,156.46
2025-07-03,164.61
2025-07-04,161.66
2025-07-05,156.8
2025-07-06,149.67
2025-07-07,147.26
2025-07-08,150.95
2025-07-09,157.67
2025-07-10,164.86
2025-07-11,165.92
2025-07-12,157.9
2025-07-13,148.33
2025-07-14,149.86
2025-07-15,155.51
2025-07-16,161.03
2025-07-17,168.16
2025-07-18,166.43
2025-07-19,157.28
2025-07-20,153.64
2025-07-21,152.73
2025-07-22,159.01
2025-07-23,167.01
2025-07-24,167.19
2025-07-25,166.53
2025-07-26,162.7
2025-07-27,156.05
2025-07-28,154.74
2025-07-29,166.64
2025-07-30,168.14
2025-07-31,174.32
2025-08-01,172.42
2025-08-02,165.07
2025-08-03,156.49
2025-08-04,157.33
2025-08-05,159.49
2025-08-06,168.63
2025-08-07,173.18
2025-08-08,172.77
2025-08-09,170.5
2025-08-10,155.49
2025-08-11,159.28
2025-08-12,159.91
2025-08-13,170.26
2025-08-14,178.43
2025-08-15,174.84
2025-08-16,165.81
2025-08-17,159.89
2025-08-18,161.37
2025-08-19,163.78
2025-08-20,173.73
2025-08-21,178.44
2025-08-22,175.51
2025-08-23,174.36
2025-08-24,164.69
2025-08-25,158.06
2025-08-26,167.71
2025-08-27,174.08
2025-08-28,182.15
2025-08-29,177.32
2025-08-30,171.94
2025-08-31,166.54
2025-09-01,165.94
2025-09-02,167.04
2025-09-03,176.83
2025-09-04,181.6
2025-09-05,179.7
2025-09-06,177.8
2025-09-07,168.44
2025-09-08,163.79
2025-09-09,173.38
2025-09-10,183.84
2025-09-11,186.71
2025-09-12,180.07
2025-09-13,175.4
2025-09-14,172.26
2025-09-15,167.0
2025-09-16,174.53
2025-09-17,183.25
2025-09-18,184.89
2025-09-19,185.09
2025-09-20,171.98
2025-09-21,169.78
2025-09-22,170.01
2025-09-23,173.24
2025-09-24,187.06
2025-09-25,185.99
2025-09-26,186.43
2025-09-27,180.83
2025-09-28,176.81
2025-09-29,169.74
2025-09-30,180.17
2025-10-01,185.92
2025-10-02,188.99
2025-10-03,190.33
2025-10-04,183.07
2025-10-05,174.82
2025-10-06,174.85
2025-10-07,179.17
2025-10-08,188.23
2025-10-09,194.37
2025-10-10,194.68
2025-10-11,182.29
2025-10-12,182.39
2025-10-13,172.91
2025-10-14,181.74
2025-10-15,191.28
2025-10-16,195.71
2025-10-17,192.36
2025-10-18,186.45
2025-10-19,179.24
2025-10-20,177.73
2025-10-21,185.84
2025-10-22,192.91
2025-10-23,195.86
2025-10-24,197.51
2025-10-25,189.58
2025-10-26,183.95
2025-10-27,182.27
2025-10-28,184.58
2025-10-29,193.18
2025-10-30,200.84
2025-10-31,199.03
2025-11-01,191.03
2025-11-02,184.66
2025-11-03,185.67
2025-11-04,187.16
2025-11-05,197.49
2025-11-06,201.04
2025-11-07,199.47
2025-11-08,195.36
2025-11-09,188.18
2025-11-10,186.84
2025-11-11,193.05
2025-11-12,198.54
2025-11-13,204.91
2025-11-14,201.39
2025-11-15,195.92
2025-11-16,188.36
2025-11-17,187.5
2025-11-18,193.73
2025-11-19,198.96
2025-11-20,209.83
2025-11-21,202.1
2025-11-22,194.94
2025-11-23,193.04
2025-11-24,190.99
2025-11-25,195.89
2025-11-26,203.96
2025-11-27,207.72
2025-11-28,204.41
2025-11-29,199.62
2025-11-30,191.47
2025-12-01,193.46
2025-12-02,196.45
2025-12-03,203.15
2025-12-04,209.21
2025-12-05,209.14
2025-12-06,200.44
2025-12-07,193.28
2025-12-08,194.1
2025-12-09,199.33
2025-12-10,205.89
2025-12-11,211.01
2025-12-12,210.87
2025-12-13,200.77
2025-12-14,194.21
2025-12-15,194.27
2025-12-16,200.51
2025-12-17,209.62
2025-12-18,217.0
2025-12-19,214.22
2025-12-20,205.45
2025-12-21,199.09
2025-12-22,195.81
2025-12-23,203.0
2025-12-24,210.52
2025-12-25,216.79
2025-12-26,212.95
2025-12-27,208.91
2025-12-28,204.29
2025-12-29,199.69
2025-12-30,205.94
2025-12-31,214.58
